conversion_id,customer_id,conversion_date,revenue_inr
1,2,2024-06-02 01:38:30,2718.51
2,4,2024-03-06 23:33:32,1510.47
3,5,2024-06-02 22:22:06,1024.7
4,8,2024-03-10 05:41:11,12933.72
5,9,2024-04-01 00:18:47,3614.92
6,10,2024-03-13 00:03:34,3911.44
7,11,2024-08-07 05:42:34,4258.7
8,12,2024-08-05 17:35:56,12230.02
9,13,2024-02-29 00:33:05,4181.49
10,14,2024-11-24 02:02:23,40523.95
11,16,2024-10-18 19:27:38,5543.52
12,17,2024-08-15 06:28:29,12779.61
13,18,2024-04-10 12:55:31,10144.79
14,20,2024-08-01 22:28:32,4756.17
15,21,2024-05-25 15:15:14,2897.86
16,22,2024-05-02 12:10:55,6626.07
17,23,2024-07-09 15:53:58,7778.27
18,25,2024-03-19 03:37:56,2935.62
19,26,2024-04-07 03:54:08,5708.46
20,27,2024-05-24 03:03:18,14951.76
21,30,2024-10-05 09:53:58,31664.55
22,31,2024-08-05 22:35:06,10603.43
23,33,2024-05-10 15:09:24,26277.9
24,34,2024-05-09 22:17:27,2789.35
25,35,2024-07-16 13:36:21,9243.67
26,37,2024-10-12 17:53:22,16393.95
27,38,2024-02-18 09:09:50,2193.6
28,39,2024-05-18 08:07:39,3174.7
29,42,2024-06-05 10:08:52,23484.93
30,43,2024-01-14 02:42:19,2043.48
31,44,2024-06-12 10:44:42,1469.95
32,45,2024-06-30 20:50:53,19441.85
33,46,2024-05-07 12:55:57,14430.32
34,47,2024-09-13 00:36:37,7251.1
35,51,2024-09-19 22:26:26,4716.68
36,53,2024-08-06 00:03:40,3312.07
37,54,2024-01-26 22:11:53,6334.42
38,55,2024-11-19 07:54:01,20370.16
39,57,2024-09-04 20:38:21,6091.86
40,59,2024-08-22 13:45:24,34553.47
41,61,2024-02-02 11:21:11,2190.43
42,62,2024-02-10 14:34:38,4828.48
43,63,2024-09-04 18:17:21,3513.08
44,67,2024-02-21 02:34:23,1850.8
45,70,2024-11-19 17:29:52,4282.21
46,71,2024-09-18 04:15:55,7155.21
47,72,2024-03-03 14:17:49,7877.83
48,73,2024-05-16 23:54:26,34662.27
49,74,2024-04-26 18:59:07,7465.3
50,75,2024-02-21 08:02:34,13837.3
51,77,2024-06-11 08:04:09,5215.99
52,78,2024-03-11 10:52:30,22253.4
53,79,2024-11-01 14:05:23,42557.2
54,81,2024-05-10 08:19:49,7926.58
55,82,2024-08-25 11:11:04,2011.44
56,85,2024-03-03 15:54:46,2999.12
57,87,2024-09-29 00:16:52,6334.34
58,88,2024-08-12 06:52:33,7411.95
59,89,2024-07-03 06:14:25,9214.95
60,93,2024-05-09 18:47:56,7436.67
61,94,2024-02-26 13:43:09,4945.76
62,95,2024-05-10 20:46:16,2772.27
63,99,2024-10-29 02:49:14,7051.7
64,100,2024-01-25 02:00:22,26094.73
65,103,2024-08-14 23:01:46,12307.15
66,104,2024-05-29 03:00:47,7952.44
67,105,2024-02-19 21:35:41,12414.37
68,106,2024-10-24 12:28:50,3519.39
69,108,2024-10-27 01:57:18,3110.57
70,110,2024-06-26 15:58:36,2507.38
71,111,2024-04-06 22:02:34,4390.69
72,112,2024-08-30 15:18:53,3361.68
73,115,2024-07-16 12:52:15,14580.6
74,117,2024-08-06 05:57:02,3204.17
75,119,2024-05-18 20:26:34,2386.42
76,120,2024-05-24 20:42:53,28235.05
77,124,2024-08-11 18:54:00,3273.98
78,126,2024-09-18 08:52:51,5643.03
79,127,2024-03-12 00:57:30,7377.5
80,128,2024-02-22 13:09:26,1766.89
81,129,2024-09-22 19:29:45,14942.06
82,131,2024-08-27 09:57:25,8720.28
83,132,2024-07-25 11:31:39,19981.17
84,133,2024-03-31 06:24:09,2666.98
85,134,2024-08-06 10:11:59,5373.38
86,135,2024-05-07 04:55:13,5091.97
87,141,2024-05-29 17:17:22,6232.29
88,143,2024-03-05 04:40:40,1327.23
89,144,2024-07-03 03:16:10,5430.32
90,146,2024-08-04 14:59:27,1361.28
91,147,2024-08-28 10:27:16,6785.21
92,148,2024-04-17 13:19:43,723.58
93,149,2024-09-22 16:50:08,928.5
94,150,2024-10-14 09:18:41,10267.04
95,153,2024-08-05 16:22:25,3004.44
96,157,2024-03-22 04:38:23,2020.15
97,161,2024-01-27 05:55:57,15425.25
98,163,2024-08-27 06:42:44,6600.26
99,165,2024-09-07 02:38:37,10773.89
100,167,2024-08-25 23:30:00,4231.8
101,169,2024-02-22 02:20:03,54812.08
102,170,2024-03-02 19:41:55,2852.46
103,171,2024-09-23 10:55:51,23624.65
104,173,2024-03-14 02:42:58,4650.69
105,174,2024-09-25 19:13:01,1108.7
106,177,2024-03-22 08:09:16,7589.83
107,179,2024-10-07 05:31:12,6524.28
108,180,2024-06-27 21:04:02,1908.0
109,181,2024-09-11 01:35:21,2143.09
110,183,2024-03-12 00:08:17,4806.73
111,184,2024-09-22 01:55:48,6732.98
112,185,2024-10-10 11:32:43,531.87
113,190,2024-10-24 19:52:11,12680.36
114,191,2024-04-18 10:07:38,3149.35
115,192,2024-04-05 18:06:12,1482.41
116,193,2024-09-29 10:42:47,11463.92
117,194,2024-06-09 00:16:00,4811.4
118,197,2024-07-25 12:02:45,14684.52
119,198,2024-07-22 04:16:35,7289.26
120,199,2024-01-11 01:37:03,4908.07
121,201,2024-01-18 18:01:44,4283.57
122,202,2024-07-18 16:13:00,7588.9
123,203,2024-04-14 17:37:34,3387.41
124,204,2024-01-23 02:09:12,2281.72
125,205,2024-03-25 08:48:04,8509.33
126,206,2024-02-03 04:27:11,4315.47
127,207,2024-04-30 12:23:25,5065.51
128,208,2024-10-14 08:05:57,13100.97
129,209,2024-03-05 23:43:44,4436.01
130,212,2024-04-18 15:20:17,4981.72
131,215,2024-03-31 07:49:41,2864.98
132,217,2024-02-22 20:00:16,7242.1
133,218,2024-06-27 16:58:00,6733.46
134,219,2024-07-14 14:06:42,11055.66
135,220,2024-07-26 10:54:41,2918.38
136,221,2024-02-29 15:42:37,3255.06
137,222,2024-04-14 22:12:39,10025.87
138,228,2024-07-03 01:16:12,6167.15
139,229,2024-03-17 16:14:53,2174.17
140,231,2024-08-17 02:54:24,15929.03
141,237,2024-05-19 20:47:25,1065.71
142,239,2024-08-12 04:43:44,9955.26
143,240,2024-11-12 17:03:18,1573.9
144,241,2024-12-09 02:34:38,26828.22
145,243,2024-07-17 19:13:58,1223.98
146,246,2024-08-23 19:19:04,13863.65
147,248,2024-08-06 05:55:58,4566.62
148,249,2024-07-17 14:20:28,3533.55
149,250,2024-06-29 15:07:48,5807.22
150,251,2024-11-01 16:32:15,8679.42
151,252,2024-10-18 12:23:07,2177.73
152,254,2024-05-16 11:36:49,2358.52
153,255,2024-06-21 20:31:27,8818.83
154,256,2024-04-06 10:40:01,1057.21
155,257,2024-06-28 05:07:30,2905.01
156,261,2024-03-09 11:29:08,75857.99
157,263,2024-09-27 14:27:46,2056.56
158,265,2024-03-10 19:43:43,13808.26
159,266,2024-09-17 06:09:12,2900.52
160,267,2024-06-03 03:57:43,7770.9
161,269,2024-05-05 19:19:01,8856.62
162,270,2024-04-20 20:15:57,13576.03
163,271,2024-05-01 07:22:36,4104.22
164,272,2024-08-23 07:35:26,29436.66
165,273,2024-03-12 07:12:56,2891.69
166,274,2024-07-05 11:43:14,6068.09
167,279,2024-04-10 23:28:27,6128.77
168,283,2024-10-30 17:24:40,1790.46
169,285,2024-11-02 09:26:32,3799.84
170,287,2024-05-26 03:25:48,5683.73
171,288,2024-05-22 06:07:13,3331.21
172,290,2024-05-06 02:32:10,44215.54
173,291,2024-08-29 07:32:34,2310.54
174,293,2024-07-22 09:07:06,14206.89
175,294,2024-06-29 03:00:46,10623.39
176,295,2024-01-09 06:00:24,4853.83
177,299,2024-05-26 06:34:04,2255.92
178,300,2024-07-01 07:14:01,2461.61
179,302,2024-09-09 06:41:18,3083.53
180,303,2024-06-17 03:09:29,985.19
181,304,2024-06-15 10:03:11,1991.97
182,308,2024-08-21 14:16:19,1294.36
183,309,2024-01-29 08:41:32,16502.84
184,310,2024-09-11 15:28:17,8575.08
185,311,2024-01-08 19:43:58,9970.41
186,313,2024-02-01 00:25:14,8349.43
187,316,2024-03-09 02:21:13,5711.69
188,318,2024-02-23 13:44:56,18299.19
189,320,2024-08-30 21:15:20,2836.46
190,322,2024-02-26 11:05:12,5409.99
191,323,2024-02-14 07:29:57,9627.25
192,324,2024-05-03 03:50:45,1496.54
193,326,2024-01-07 13:29:17,79772.17
194,327,2024-05-01 08:43:48,5042.76
195,329,2024-09-11 21:03:10,5584.73
196,333,2024-05-03 14:14:56,15232.56
197,334,2024-07-29 13:30:36,11197.66
198,336,2024-10-29 19:47:54,5086.12
199,337,2024-06-14 02:56:31,5525.43
200,338,2024-05-01 11:08:21,1269.36
201,340,2024-03-04 05:06:59,2978.52
202,342,2024-04-28 16:34:09,7828.21
203,344,2024-04-01 00:49:17,7328.33
204,345,2024-04-19 01:07:25,14750.75
205,346,2024-10-22 05:22:37,4409.64
206,347,2024-09-17 04:41:24,1410.14
207,348,2024-02-05 07:28:48,12721.61
208,353,2024-09-15 07:29:14,17898.65
209,355,2024-04-23 19:55:25,11030.51
210,357,2024-06-09 10:37:12,4241.74
211,359,2024-05-16 14:46:19,12581.06
212,363,2024-02-12 22:51:52,107583.16
